Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x271512e4f0a6453a348ce9bdae1cdb90c0e020b9c14db3fca35ed7a85e3ec50f","Success","Swap ETH","23353904","2025-09-13 11:39:23","0x52d96971bf7f77f278cdbe14e82ef553ee725812","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","2.050203158 ETH","$8,833.55","0.00045403"
"0xc37af16eb16f945e8cc20cd83f7998f56c8dc84ed1f7202601a6adeb9b724d14","Success","Swap ETH","23353884","2025-09-13 11:35:23","0x52d96971bf7f77f278cdbe14e82ef553ee725812","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","2.000203158 ETH","$8,618.12","0.00045947"
"0xaf9c22d3252c141fbca69150068dfd2517dcc98a2675f72ef5933cf284022202","Success","Swap ETH","23353625","2025-09-13 10:43:35","0xed0149509faa6c9f880452901ab811a772091d24","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.015252148 ETH","$65.72","0.00010413"
"0x57d5a358f1575efe074e917ec64df492edbe445037b3875e918fdf6bd234a5e3","Success","Swap ETH","23350318","2025-09-12 23:38:35","0x8e3a2255cf6a5b5ec40a8adbbc357c4f6141e8b6","kerrigan1.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.057199205 ETH","$246.45","0.00013111"
"0x0285b0d3d7486e2c6a23da186bc1738d4d0a44e3e06f1c560dc6a8041d0b69b3","Success","Swap ETH","23349515","2025-09-12 20:56:59","0x5ec1f3c026dbc6a5edcbccaf6d7f06cf8c81cbc5","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","1.600206712 ETH","$6,894.69","0.000254"
"0xf38ebeca324ba17f7fd7e422a43ca9ffda05e1f2fcd9f08a5678342b873c3205","Success","Swap ETH","23349495","2025-09-12 20:52:59","0x1b91367cbabfad4f8a1c5d01bf98988b87d4e964","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","1.080206712 ETH","$4,654.20","0.00065816"
"0x8c62dcfb5b4ce661e00e0952a1fa899e5d595421bb2fa9cdb7b8654518efdecf","Error in Main Txn : execution reverted","Swap ETH","23349490","2025-09-12 20:51:59","0x1b91367cbabfad4f8a1c5d01bf98988b87d4e964","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","1.100203515 ETH","$4,740.36","0.00070699"
"0xaca28fd72398c0c915ca58d091af4128fbfd744fe232baa50f546e7643655489","Success","Swap ETH","23348712","2025-09-12 18:15:35","0x8ed5fb86b9a2a1c539e7473fd6abce55303dd76f","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.220203561 ETH","$948.77","0.00031438"
"0xd63b70a6f761a778b53a474ec4e6a7ca336249df0bc4b91450d60ed20307b327","Success","Swap ETH","23347545","2025-09-12 14:20:47","0x8241f3258093bdb986978d0a8d81c3abe9a4d51e","blackbox3000.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","1.100204262 ETH","$4,740.37","0.00079052"
"0xa619c52188df2aefefde29304a8f71d277027a1981a675bc22e4cbbc7634a13a","Success","Swap ETH","23347238","2025-09-12 13:18:59","0x85acd6788891718401f700f7f7de9ed7a79cf296","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.024736418 ETH","$106.58","0.0004721"
"0xa70d2214e23c9acfc066b0da6dd745ee41d4e4bef0dc8927c5e134023492e2f2","Success","Swap ETH","23346208","2025-09-12 09:52:47","0xafbd8a8797394931d3a89bc70764c54eb2a51d43","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.352803157 ETH","$1,520.10","0.00012547"
"0xac33719b5e9d17f1e13d0e3adfd3c8bf150b7b0fc59b0837f1d3c70e6edd6fdc","Success","Swap ETH","23346189","2025-09-12 09:48:59","0x2c00830c79feac0a289e1c726da60563e58ede26","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","2.380203157 ETH","$10,255.40","0.00050136"
"0xde957c594386d2bbb2d694f82217e1860fbd19c6f648661d5229b44dd75d66a2","Success","Swap ETH","23346169","2025-09-12 09:44:59","0x2c00830c79feac0a289e1c726da60563e58ede26","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","8.800203157 ETH","$37,916.76","0.000491"
"0xba09a5e879a7513ce95eccc42cd0507a33d6111d47574097ef298986bf4e1709","Success","Swap ETH","23342718","2025-09-11 22:11:35","0x2df55e0fd3a0b1f00c6de17b12d96e7351bc0744","ryuuichi0777.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","1.200216477 ETH","$5,171.28","0.00007549"
"0x2e30d6f9596b35561c64462210f68857035ea4145caca57c6c406a9f013a3c75","Success","Swap ETH","23342595","2025-09-11 21:46:47","0xc68786357be8e118cca913e84d7a0f5d13ffa6da","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","5.519236332 ETH","$23,780.31","0.00044483"
"0x7233ca43a1ae012edac9bd5aae29e6c42b8931d981a8ff26b715dcf516757717","Success","Swap ETH","23341945","2025-09-11 19:35:35","0x0871deb34bfd2052b1c10dc4f6c0912a2a47e927","krymocapital.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.450237302 ETH","$1,939.90","0.00048486"
"0x84ab20764f47ea1ea5d377d651bbbdcd6e37c0547638a6e42ba42e294f2a4067","Success","Swap ETH","23341911","2025-09-11 19:28:47","0x81ea04c179b82d31662994a68b2582ad9d860f88","speedlight.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","1.000216528 ETH","$4,309.56","0.00009974"
