month,monthly_active_users
2025-01-01 00:00:00.000 UTC,366456
2025-02-01 00:00:00.000 UTC,344153
2025-03-01 00:00:00.000 UTC,312010
2025-04-01 00:00:00.000 UTC,226964
2025-05-01 00:00:00.000 UTC,264330
2025-06-01 00:00:00.000 UTC,278386
2025-07-01 00:00:00.000 UTC,308874
