month,monthly_active_users
2025-01-01 00:00:00.000 UTC,31329
2025-02-01 00:00:00.000 UTC,17373
2025-03-01 00:00:00.000 UTC,13346
2025-04-01 00:00:00.000 UTC,15911
2025-05-01 00:00:00.000 UTC,12074
2025-06-01 00:00:00.000 UTC,10461
2025-07-01 00:00:00.000 UTC,9072
