month,monthly_user_entries
2025-01-01 00:00:00.000 UTC,324
2025-02-01 00:00:00.000 UTC,415
2025-03-01 00:00:00.000 UTC,1636
2025-04-01 00:00:00.000 UTC,1496
2025-05-01 00:00:00.000 UTC,3151
2025-06-01 00:00:00.000 UTC,3086
2025-07-01 00:00:00.000 UTC,4528
