month,monthly_active_users
2025-01-01 00:00:00.000 UTC,89
2025-02-01 00:00:00.000 UTC,113
2025-03-01 00:00:00.000 UTC,142
2025-04-01 00:00:00.000 UTC,104
2025-05-01 00:00:00.000 UTC,140
2025-06-01 00:00:00.000 UTC,139
2025-07-01 00:00:00.000 UTC,128
