month,monthly_unique_users
2025-01-01 00:00:00.000 UTC,130500
2025-02-01 00:00:00.000 UTC,109729
2025-03-01 00:00:00.000 UTC,89578
2025-04-01 00:00:00.000 UTC,74627
2025-05-01 00:00:00.000 UTC,119823
2025-06-01 00:00:00.000 UTC,97397
2025-07-01 00:00:00.000 UTC,120472
