month,single_use_user_count
2025-01-01 00:00:00.000 UTC,153697
2025-02-01 00:00:00.000 UTC,141918
2025-03-01 00:00:00.000 UTC,132610
2025-04-01 00:00:00.000 UTC,87085
2025-05-01 00:00:00.000 UTC,95375
2025-06-01 00:00:00.000 UTC,89151
2025-07-01 00:00:00.000 UTC,121931
