time,unique_from_users
2025-01-01 00:00:00.000 UTC,100713
2025-02-01 00:00:00.000 UTC,82569
2025-03-01 00:00:00.000 UTC,54457
2025-04-01 00:00:00.000 UTC,46866
2025-05-01 00:00:00.000 UTC,83222
2025-06-01 00:00:00.000 UTC,65353
2025-07-01 00:00:00.000 UTC,78938
