month,new_users
2025-01-01 00:00:00.000 UTC,7781
2025-02-01 00:00:00.000 UTC,2008
2025-03-01 00:00:00.000 UTC,4213
2025-04-01 00:00:00.000 UTC,1756
2025-05-01 00:00:00.000 UTC,2147
2025-06-01 00:00:00.000 UTC,1059
